index,dominant_lang,russian_type,construction_type,selected_number
1,finnish,heritage,numeral_construction,sg
2,finnish,heritage,numeral_construction,sg
3,finnish,heritage,numeral_construction,sg
4,finnish,heritage,numeral_construction,sg
5,finnish,heritage,numeral_construction,sg
6,finnish,heritage,numeral_construction,sg
7,finnish,heritage,numeral_construction,sg
8,finnish,heritage,numeral_construction,sg
9,finnish,heritage,numeral_construction,sg
10,finnish,heritage,numeral_construction,sg
11,finnish,heritage,numeral_construction,sg
12,finnish,heritage,numeral_construction,sg
13,finnish,heritage,numeral_construction,sg
14,finnish,heritage,numeral_construction,sg
15,finnish,heritage,numeral_construction,pl
16,finnish,heritage,numeral_construction,pl
17,finnish,heritage,numeral_construction,pl
18,finnish,heritage,numeral_construction,pl
19,finnish,heritage,numeral_construction,pl
20,finnish,heritage,numeral_construction,pl
21,english,heritage,numeral_construction,sg
22,english,heritage,numeral_construction,sg
23,english,heritage,numeral_construction,sg
24,english,heritage,numeral_construction,sg
25,english,heritage,numeral_construction,sg
26,english,heritage,numeral_construction,sg
27,english,heritage,numeral_construction,sg
28,english,heritage,numeral_construction,sg
29,english,heritage,numeral_construction,sg
30,english,heritage,numeral_construction,sg
31,english,heritage,numeral_construction,sg
32,english,heritage,numeral_construction,sg
33,english,heritage,numeral_construction,sg
34,english,heritage,numeral_construction,sg
35,english,heritage,numeral_construction,sg
36,english,heritage,numeral_construction,sg
37,english,heritage,numeral_construction,sg
38,english,heritage,numeral_construction,sg
39,english,heritage,numeral_construction,sg
40,english,heritage,numeral_construction,sg
41,english,heritage,numeral_construction,sg
42,english,heritage,numeral_construction,sg
43,english,heritage,numeral_construction,sg
44,english,heritage,numeral_construction,sg
45,english,heritage,numeral_construction,sg
46,english,heritage,numeral_construction,sg
47,english,heritage,numeral_construction,sg
48,english,heritage,numeral_construction,sg
49,english,heritage,numeral_construction,sg
50,english,heritage,numeral_construction,sg
51,english,heritage,numeral_construction,sg
52,english,heritage,numeral_construction,sg
53,english,heritage,numeral_construction,sg
54,english,heritage,numeral_construction,sg
55,english,heritage,numeral_construction,sg
56,english,heritage,numeral_construction,sg
57,english,heritage,numeral_construction,sg
58,english,heritage,numeral_construction,sg
59,english,heritage,numeral_construction,pl
60,english,heritage,numeral_construction,pl
61,english,heritage,numeral_construction,pl
62,english,heritage,numeral_construction,pl
63,english,heritage,numeral_construction,pl
64,english,heritage,numeral_construction,pl
65,english,heritage,numeral_construction,pl
66,english,heritage,numeral_construction,pl
67,english,heritage,numeral_construction,pl
68,english,heritage,numeral_construction,pl
69,english,heritage,numeral_construction,pl
70,english,heritage,numeral_construction,pl
71,english,heritage,numeral_construction,pl
72,english,heritage,numeral_construction,pl
73,english,heritage,numeral_construction,pl
74,english,heritage,numeral_construction,pl
75,english,heritage,numeral_construction,pl
76,english,heritage,numeral_construction,pl
77,finnish,heritage,majority,sg
78,finnish,heritage,majority,sg
79,finnish,heritage,majority,sg
80,finnish,heritage,majority,sg
81,finnish,heritage,majority,sg
82,finnish,heritage,majority,sg
83,finnish,heritage,majority,sg
84,finnish,heritage,majority,pl
85,finnish,heritage,majority,pl
86,finnish,heritage,majority,pl
87,english,heritage,majority,sg
88,english,heritage,majority,sg
89,english,heritage,majority,sg
90,english,heritage,majority,sg
91,english,heritage,majority,sg
92,english,heritage,majority,sg
93,english,heritage,majority,sg
94,english,heritage,majority,sg
95,english,heritage,majority,sg
96,english,heritage,majority,sg
97,english,heritage,majority,sg
98,english,heritage,majority,sg
99,english,heritage,majority,sg
100,english,heritage,majority,sg
101,english,heritage,majority,sg
102,english,heritage,majority,sg
103,english,heritage,majority,sg
104,english,heritage,majority,sg
105,english,heritage,majority,sg
106,english,heritage,majority,sg
107,english,heritage,majority,sg
108,english,heritage,majority,sg
109,english,heritage,majority,sg
110,english,heritage,majority,sg
111,english,heritage,majority,sg
112,english,heritage,majority,sg
113,english,heritage,majority,sg
114,english,heritage,majority,sg
115,english,heritage,majority,sg
116,english,heritage,majority,sg
117,english,heritage,majority,sg
118,english,heritage,majority,sg
119,english,heritage,majority,sg
120,english,heritage,majority,sg
121,english,heritage,majority,sg
122,english,heritage,majority,sg
123,english,heritage,majority,sg
124,english,heritage,majority,sg
